년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1990-01-01,131,-3.1,-19.3,8.3
1990-02-01,131,2.7,-9,13.8
1990-03-01,131,7,-5,21
1990-04-01,131,11.4,-0.1,28.9
1990-05-01,131,16.9,6.5,29.8
1990-06-01,131,21.8,13.6,32.3
1990-07-01,131,26.1,16.5,35.7
1990-08-01,131,26.7,18.8,36.8
1990-09-01,131,21.5,10.2,33.6
1990-10-01,131,14,2.2,26.2
1990-11-01,131,9.1,-4.3,20
1990-12-01,131,0.1,-17.2,16
1991-01-01,131,-2.6,-15.8,8.5
1991-02-01,131,-1.3,-17.2,11.2
1991-03-01,131,5,-6,19.8
1991-04-01,131,12.6,-4.8,25.9
1991-05-01,131,17.6,3.2,31.3
1991-06-01,131,23.1,14.2,32.5
1991-07-01,131,24.8,16.8,34.1
1991-08-01,131,24.8,13.8,34.4
1991-09-01,131,20.2,7.4,31.7
1991-10-01,131,12.7,0.6,26.4
1991-11-01,131,5.3,-6.6,18.9
1991-12-01,131,1.7,-11.8,16.4
1992-01-01,131,-0.5,-11.3,8.7
1992-02-01,131,0.2,-10.9,19.3
1992-03-01,131,7,-5.4,20.9
1992-04-01,131,12.1,0.2,25.8
1992-05-01,131,16.6,5.9,29.3
1992-06-01,131,21.1,8.3,31.8
1992-07-01,131,26,17.9,34.5
1992-08-01,131,25.2,17.7,34.2
1992-09-01,131,20.3,5.9,32.4
1992-10-01,131,13.1,-0.1,25.8
1992-11-01,131,5.6,-9.9,20.3
1992-12-01,131,1.4,-11,15.2
1993-01-01,131,-2.1,-13.6,9.5
1993-02-01,131,1,-8.8,19.7
1993-03-01,131,5.2,-8.3,20.7
1993-04-01,131,11.1,-2,26.6
1993-05-01,131,18.1,7.3,32.1
1993-06-01,131,22.1,13.2,31.8
1993-07-01,131,23.8,14.2,32.6
1993-08-01,131,22.6,14.2,32.8
1993-09-01,131,20.4,9.5,31.4
1993-10-01,131,12.3,-0.8,25.2
1993-11-01,131,8,-8.7,20.4
1993-12-01,131,-0.1,-11.7,11.2
1994-01-01,131,-1.5,-15.9,11.6
1994-02-01,131,0.4,-14.9,13.6
1994-03-01,131,3.9,-6.5,19.8
1994-04-01,131,14.7,1.6,29.6
1994-05-01,131,18.2,5.7,30.7
1994-06-01,131,22.7,10.7,35.1
1994-07-01,131,29.1,22.1,37.8
1994-08-01,131,27.7,17.5,36.4
1994-09-01,131,20,8.8,32.5
1994-10-01,131,14.2,-0.1,26.5
1994-11-01,131,8.6,-4.9,21.9
1994-12-01,131,1.2,-11.7,17.8
1995-01-01,131,-2.4,-13.9,12.3
1995-02-01,131,0.3,-11.6,13.3
1995-03-01,131,5.9,-4.6,19.6
